fold_name,model_name,rmse,mae,direction_hit
"train<= 2019, test= 2020",baseline_naive,3.567534716378969,1.9722924901185774,0.4603174603174603
"train<= 2019, test= 2020",baseline_ewma,9.028294124791785,5.425740919319793,0.4801587301587302
"train<= 2019, test= 2020","ARIMA(1, 1, 1)",3.623825628964538,1.9380452050386023,0.4603174603174603
"train<= 2019, test= 2020","ARIMAX(1, 1, 1)",19.279877561440145,15.244703855356411,0.7658730158730159
"train<= 2020, test= 2021",baseline_naive,2.1049528705654166,1.3686904761904761,0.47410358565737054
"train<= 2020, test= 2021",baseline_ewma,2.934540696939552,2.1133132361558786,0.4262948207171315
"train<= 2020, test= 2021","ARIMA(1, 1, 1)",2.069260820800411,1.3458296688141087,0.4940239043824701
"train<= 2020, test= 2021","ARIMAX(1, 1, 1)",4.609514575560113,4.094583376253989,0.7649402390438247
"train<= 2021, test= 2022",baseline_naive,1.7323158947995023,1.2991796875,0.4980392156862745
"train<= 2021, test= 2022",baseline_ewma,3.662191091162853,2.992843316905761,0.47058823529411764
"train<= 2021, test= 2022","ARIMA(1, 1, 1)",1.7626406170238726,1.319115375243746,0.49019607843137253
"train<= 2021, test= 2022","ARIMAX(1, 1, 1)",9.387314656477972,8.470280594759156,0.7411764705882353
